game_nr,object,fixed indices,message
110767,[2. 2. 4. 2.],[0. 0. 0. 1.],"[16, 1, 24, 16, 0]"
130662,[5. 5. 0. 2.],[0. 0. 0. 1.],"[16, 1, 24, 24, 0]"
107101,[5. 5. 7. 2.],[0. 0. 0. 1.],"[16, 1, 24, 24, 0]"
18077,[1. 3. 2. 2.],[0. 0. 0. 1.],"[16, 1, 24, 24, 0]"
131844,[0. 7. 2. 2.],[0. 0. 0. 1.],"[16, 1, 24, 24, 0]"
131844,[0. 5. 2. 2.],[0. 0. 0. 1.],"[16, 1, 24, 24, 0]"
15226,[6. 1. 7. 2.],[0. 0. 0. 1.],"[16, 1, 24, 24, 0]"
18220,[3. 0. 7. 2.],[0. 0. 0. 1.],"[16, 1, 24, 24, 0]"
15226,[0. 6. 3. 2.],[0. 0. 0. 1.],"[16, 1, 24, 24, 0]"
49559,[3. 7. 4. 2.],[0. 0. 0. 1.],"[16, 1, 24, 24, 0]"
49559,[6. 7. 0. 2.],[0. 0. 0. 1.],"[16, 1, 24, 24, 0]"
18220,[0. 1. 1. 2.],[0. 0. 0. 1.],"[16, 1, 24, 24, 0]"
130662,[0. 5. 1. 2.],[0. 0. 0. 1.],"[16, 1, 24, 24, 0]"
50231,[2. 7. 7. 2.],[0. 0. 0. 1.],"[16, 1, 24, 24, 0]"
107101,[2. 0. 3. 2.],[0. 0. 0. 1.],"[16, 1, 24, 24, 0]"
18220,[6. 5. 3. 2.],[0. 0. 0. 1.],"[16, 1, 24, 24, 0]"
15226,[3. 7. 4. 2.],[0. 0. 0. 1.],"[16, 1, 24, 24, 0]"
107101,[4. 2. 6. 2.],[0. 0. 0. 1.],"[16, 1, 24, 24, 0]"
50231,[7. 6. 2. 2.],[0. 0. 0. 1.],"[16, 1, 24, 24, 0]"
130662,[0. 6. 1. 2.],[0. 0. 0. 1.],"[16, 1, 24, 24, 0]"
