game_nr,object,fixed indices,message
4093,[3. 1. 7.],[0. 1. 0.],"[12, 1, 18, 0]"
5720,[3. 1. 7.],[0. 1. 0.],"[12, 1, 18, 0]"
1753,[7. 1. 3.],[0. 1. 0.],"[12, 1, 18, 0]"
1753,[0. 1. 4.],[0. 1. 0.],"[12, 1, 18, 0]"
6530,[6. 1. 1.],[0. 1. 0.],"[12, 1, 18, 0]"
1753,[4. 1. 5.],[0. 1. 0.],"[12, 1, 18, 0]"
7236,[7. 1. 1.],[0. 1. 0.],"[12, 1, 18, 0]"
7236,[5. 1. 1.],[0. 1. 0.],"[12, 1, 18, 0]"
9436,[4. 1. 5.],[0. 1. 0.],"[12, 1, 18, 0]"
9436,[2. 1. 2.],[0. 1. 0.],"[12, 1, 18, 0]"
7236,[3. 1. 0.],[0. 1. 0.],"[12, 1, 18, 0]"
9082,[3. 1. 5.],[0. 1. 0.],"[12, 1, 18, 0]"
5720,[3. 1. 5.],[0. 1. 0.],"[12, 1, 18, 0]"
9436,[0. 1. 2.],[0. 1. 0.],"[12, 1, 18, 0]"
11013,[5. 1. 5.],[0. 1. 0.],"[12, 1, 18, 0]"
4093,[4. 1. 1.],[0. 1. 0.],"[12, 1, 18, 0]"
9082,[1. 1. 2.],[0. 1. 0.],"[12, 1, 18, 0]"
11013,[7. 1. 2.],[0. 1. 0.],"[12, 1, 18, 0]"
11550,[1. 1. 1.],[0. 1. 0.],"[12, 1, 18, 0]"
11013,[1. 1. 4.],[0. 1. 0.],"[12, 1, 18, 0]"
