game_nr,object,fixed indices,context condition,message
1080,[3. 0. 2.],[1. 1. 1.],1,"[9, 9, 6, 0]"
1397,[3. 0. 2.],[1. 1. 1.],2,"[9, 9, 6, 0]"
991,[3. 0. 2.],[1. 1. 1.],2,"[9, 9, 6, 0]"
1459,[3. 0. 2.],[1. 1. 1.],0,"[9, 9, 6, 0]"
1615,[3. 0. 2.],[1. 1. 1.],0,"[9, 9, 6, 0]"
1204,[3. 0. 2.],[1. 1. 1.],2,"[9, 9, 6, 0]"
1204,[3. 0. 2.],[1. 1. 1.],2,"[9, 9, 6, 0]"
1397,[3. 0. 2.],[1. 1. 1.],2,"[9, 9, 6, 0]"
1615,[3. 0. 2.],[1. 1. 1.],0,"[9, 9, 6, 0]"
1661,[3. 0. 2.],[1. 1. 1.],1,"[9, 9, 6, 0]"
181,[3. 0. 2.],[1. 1. 1.],1,"[9, 9, 6, 0]"
1615,[3. 0. 2.],[1. 1. 1.],0,"[9, 9, 6, 0]"
1192,[3. 0. 2.],[1. 1. 1.],0,"[9, 9, 6, 0]"
1459,[3. 0. 2.],[1. 1. 1.],0,"[9, 9, 6, 0]"
991,[3. 0. 2.],[1. 1. 1.],2,"[9, 9, 6, 0]"
831,[3. 0. 2.],[1. 1. 1.],0,"[9, 9, 6, 0]"
1720,[3. 0. 2.],[1. 1. 1.],1,"[9, 9, 6, 0]"
181,[3. 0. 2.],[1. 1. 1.],1,"[9, 9, 6, 0]"
831,[3. 0. 2.],[1. 1. 1.],0,"[9, 9, 6, 0]"
1763,[3. 0. 2.],[1. 1. 1.],0,"[9, 9, 6, 0]"
