game_nr,object,fixed indices,message
42491,[3. 3. 2. 2. 2.],[0. 0. 0. 0. 1.],"[7, 12, 7, 14, 3, 0]"
25463,[3. 3. 2. 2. 2.],[0. 0. 0. 0. 1.],"[7, 12, 7, 14, 3, 0]"
70707,[1. 3. 3. 2. 2.],[0. 0. 0. 0. 1.],"[7, 12, 7, 14, 3, 0]"
69131,[2. 1. 2. 2. 2.],[0. 0. 0. 0. 1.],"[7, 12, 7, 14, 3, 0]"
49733,[3. 0. 0. 3. 2.],[0. 0. 0. 0. 1.],"[7, 12, 7, 14, 3, 0]"
42491,[1. 1. 2. 1. 2.],[0. 0. 0. 0. 1.],"[7, 12, 7, 14, 3, 0]"
74256,[2. 3. 2. 3. 2.],[0. 0. 0. 0. 1.],"[7, 12, 7, 14, 3, 0]"
70707,[1. 2. 2. 3. 2.],[0. 0. 0. 0. 1.],"[7, 12, 7, 14, 3, 0]"
49733,[0. 0. 2. 1. 2.],[0. 0. 0. 0. 1.],"[7, 12, 7, 14, 3, 0]"
70707,[0. 2. 0. 1. 2.],[0. 0. 0. 0. 1.],"[7, 12, 7, 14, 3, 0]"
74256,[2. 2. 2. 0. 2.],[0. 0. 0. 0. 1.],"[7, 12, 7, 14, 3, 0]"
31196,[0. 1. 3. 1. 2.],[0. 0. 0. 0. 1.],"[7, 12, 7, 14, 3, 0]"
31196,[2. 3. 1. 0. 2.],[0. 0. 0. 0. 1.],"[7, 12, 7, 14, 3, 0]"
31196,[3. 1. 2. 2. 2.],[0. 0. 0. 0. 1.],"[7, 12, 7, 14, 3, 0]"
27270,[3. 0. 1. 2. 2.],[0. 0. 0. 0. 1.],"[7, 12, 7, 14, 3, 0]"
27270,[0. 2. 0. 2. 2.],[0. 0. 0. 0. 1.],"[7, 12, 7, 14, 3, 0]"
69131,[3. 0. 3. 0. 2.],[0. 0. 0. 0. 1.],"[7, 12, 7, 14, 3, 0]"
42491,[2. 2. 3. 3. 2.],[0. 0. 0. 0. 1.],"[7, 12, 7, 14, 3, 0]"
49733,[2. 2. 0. 1. 2.],[0. 0. 0. 0. 1.],"[7, 12, 7, 14, 3, 0]"
69131,[3. 2. 2. 1. 2.],[0. 0. 0. 0. 1.],"[7, 12, 7, 14, 3, 0]"
