game_nr,object,fixed indices,context condition,message
10401,[0. 1. 2. 1.],[1. 1. 1. 1.],3,"[11, 11, 15, 6, 0]"
2969,[0. 1. 2. 1.],[1. 1. 1. 1.],0,"[11, 11, 15, 6, 0]"
8241,[0. 1. 2. 1.],[1. 1. 1. 1.],3,"[11, 11, 15, 6, 0]"
8064,[0. 1. 2. 1.],[1. 1. 1. 1.],1,"[11, 11, 15, 6, 0]"
1809,[0. 1. 2. 1.],[1. 1. 1. 1.],0,"[11, 11, 15, 6, 0]"
6475,[0. 1. 2. 1.],[1. 1. 1. 1.],2,"[11, 11, 15, 6, 0]"
10642,[0. 1. 2. 1.],[1. 1. 1. 1.],3,"[11, 11, 15, 6, 0]"
9109,[0. 1. 2. 1.],[1. 1. 1. 1.],3,"[11, 11, 15, 6, 0]"
324,[0. 1. 2. 1.],[1. 1. 1. 1.],0,"[11, 11, 15, 6, 0]"
9109,[0. 1. 2. 1.],[1. 1. 1. 1.],3,"[11, 11, 15, 6, 0]"
10165,[0. 1. 2. 1.],[1. 1. 1. 1.],1,"[11, 11, 15, 6, 0]"
6475,[0. 1. 2. 1.],[1. 1. 1. 1.],2,"[11, 11, 15, 6, 0]"
9109,[0. 1. 2. 1.],[1. 1. 1. 1.],3,"[11, 11, 15, 6, 0]"
10165,[0. 1. 2. 1.],[1. 1. 1. 1.],1,"[11, 11, 15, 6, 0]"
10401,[0. 1. 2. 1.],[1. 1. 1. 1.],3,"[11, 11, 15, 6, 0]"
5075,[0. 1. 2. 1.],[1. 1. 1. 1.],3,"[11, 11, 15, 6, 0]"
1809,[0. 1. 2. 1.],[1. 1. 1. 1.],0,"[11, 11, 15, 6, 0]"
6475,[0. 1. 2. 1.],[1. 1. 1. 1.],2,"[11, 11, 15, 6, 0]"
2569,[0. 1. 2. 1.],[1. 1. 1. 1.],1,"[11, 11, 15, 6, 0]"
10642,[0. 1. 2. 1.],[1. 1. 1. 1.],3,"[11, 11, 15, 6, 0]"
