game_nr,object,fixed indices,message
11734,[2. 0. 0. 2. 0.],[0. 0. 1. 0. 0.],"[7, 14, 7, 11, 3, 0]"
17897,[2. 2. 0. 2. 3.],[0. 0. 1. 0. 0.],"[7, 14, 7, 11, 3, 0]"
52960,[1. 2. 0. 2. 3.],[0. 0. 1. 0. 0.],"[7, 14, 7, 11, 3, 0]"
17897,[1. 1. 0. 3. 3.],[0. 0. 1. 0. 0.],"[7, 14, 7, 11, 3, 0]"
52960,[3. 2. 0. 2. 2.],[0. 0. 1. 0. 0.],"[7, 14, 7, 11, 3, 0]"
20109,[3. 0. 0. 2. 1.],[0. 0. 1. 0. 0.],"[7, 14, 7, 11, 3, 0]"
17897,[3. 3. 0. 0. 0.],[0. 0. 1. 0. 0.],"[7, 14, 7, 11, 3, 0]"
37787,[3. 1. 0. 2. 3.],[0. 0. 1. 0. 0.],"[7, 14, 7, 11, 3, 0]"
65987,[2. 0. 0. 1. 3.],[0. 0. 1. 0. 0.],"[7, 14, 7, 11, 3, 0]"
11734,[1. 2. 0. 1. 3.],[0. 0. 1. 0. 0.],"[7, 14, 7, 11, 3, 0]"
69960,[0. 0. 0. 0. 1.],[0. 0. 1. 0. 0.],"[7, 14, 7, 11, 3, 0]"
65987,[3. 0. 0. 2. 2.],[0. 0. 1. 0. 0.],"[7, 14, 7, 11, 3, 0]"
65987,[3. 0. 0. 1. 0.],[0. 0. 1. 0. 0.],"[7, 14, 7, 11, 3, 0]"
69960,[3. 3. 0. 0. 3.],[0. 0. 1. 0. 0.],"[7, 14, 7, 11, 3, 0]"
52960,[2. 2. 0. 3. 2.],[0. 0. 1. 0. 0.],"[7, 14, 7, 11, 3, 0]"
49238,[3. 3. 0. 0. 2.],[0. 0. 1. 0. 0.],"[7, 14, 7, 11, 3, 0]"
69960,[3. 0. 0. 1. 2.],[0. 0. 1. 0. 0.],"[7, 14, 7, 11, 3, 0]"
20109,[1. 1. 0. 0. 0.],[0. 0. 1. 0. 0.],"[7, 14, 7, 11, 3, 0]"
49238,[0. 2. 0. 2. 2.],[0. 0. 1. 0. 0.],"[7, 14, 7, 11, 3, 0]"
11734,[0. 1. 0. 1. 2.],[0. 0. 1. 0. 0.],"[7, 14, 7, 11, 3, 0]"
