game_nr,object,fixed indices,message
86857,[2. 6. 4. 5.],[1. 0. 0. 0.],"[23, 4, 23, 23, 0]"
35621,[2. 3. 7. 6.],[1. 0. 0. 0.],"[23, 23, 4, 23, 0]"
86857,[2. 5. 3. 7.],[1. 0. 0. 0.],"[23, 4, 23, 23, 0]"
90730,[2. 7. 4. 7.],[1. 0. 0. 0.],"[23, 4, 23, 23, 0]"
30163,[2. 4. 5. 1.],[1. 0. 0. 0.],"[23, 23, 4, 23, 0]"
35621,[2. 0. 3. 2.],[1. 0. 0. 0.],"[23, 23, 4, 23, 0]"
86857,[2. 2. 2. 4.],[1. 0. 0. 0.],"[23, 4, 23, 23, 0]"
90730,[2. 0. 1. 4.],[1. 0. 0. 0.],"[23, 4, 23, 23, 0]"
85858,[2. 0. 0. 7.],[1. 0. 0. 0.],"[23, 23, 4, 23, 0]"
90730,[2. 6. 5. 3.],[1. 0. 0. 0.],"[23, 4, 23, 23, 0]"
90730,[2. 6. 5. 0.],[1. 0. 0. 0.],"[23, 4, 23, 23, 0]"
111341,[2. 6. 2. 3.],[1. 0. 0. 0.],"[23, 4, 23, 23, 0]"
134103,[2. 0. 3. 0.],[1. 0. 0. 0.],"[23, 4, 23, 23, 0]"
86857,[2. 4. 6. 6.],[1. 0. 0. 0.],"[23, 4, 23, 23, 0]"
134103,[2. 7. 2. 3.],[1. 0. 0. 0.],"[23, 4, 23, 23, 0]"
35621,[2. 4. 1. 7.],[1. 0. 0. 0.],"[23, 23, 4, 23, 0]"
35621,[2. 0. 3. 0.],[1. 0. 0. 0.],"[23, 23, 4, 23, 0]"
30163,[2. 3. 0. 7.],[1. 0. 0. 0.],"[23, 23, 4, 23, 0]"
134103,[2. 3. 5. 4.],[1. 0. 0. 0.],"[23, 4, 23, 23, 0]"
85858,[2. 0. 1. 7.],[1. 0. 0. 0.],"[23, 23, 4, 23, 0]"
