game_nr,object,fixed indices,message
8476,[2. 3. 2. 3.],[1. 0. 0. 0.],"[8, 8, 5, 8, 0]"
10535,[2. 0. 2. 1.],[1. 0. 0. 0.],"[8, 8, 5, 8, 0]"
5424,[2. 1. 3. 0.],[1. 0. 0. 0.],"[8, 8, 5, 8, 0]"
4289,[2. 1. 2. 0.],[1. 0. 0. 0.],"[8, 8, 5, 8, 0]"
9908,[2. 2. 2. 1.],[1. 0. 0. 0.],"[8, 8, 5, 8, 0]"
4289,[2. 1. 2. 2.],[1. 0. 0. 0.],"[8, 8, 5, 8, 0]"
5424,[2. 3. 2. 0.],[1. 0. 0. 0.],"[8, 8, 5, 8, 0]"
5424,[2. 0. 1. 0.],[1. 0. 0. 0.],"[8, 8, 5, 8, 0]"
10535,[2. 1. 3. 0.],[1. 0. 0. 0.],"[8, 8, 5, 8, 0]"
11024,[2. 2. 1. 2.],[1. 0. 0. 0.],"[8, 8, 5, 8, 0]"
9908,[2. 2. 0. 1.],[1. 0. 0. 0.],"[8, 8, 5, 8, 0]"
11024,[2. 2. 1. 1.],[1. 0. 0. 0.],"[8, 8, 5, 8, 0]"
10535,[2. 0. 0. 0.],[1. 0. 0. 0.],"[8, 8, 5, 8, 0]"
4289,[2. 0. 2. 2.],[1. 0. 0. 0.],"[8, 8, 5, 8, 0]"
1156,[2. 2. 3. 3.],[1. 0. 0. 0.],"[8, 8, 5, 8, 0]"
9908,[2. 2. 3. 3.],[1. 0. 0. 0.],"[8, 8, 5, 8, 0]"
8476,[2. 2. 1. 1.],[1. 0. 0. 0.],"[8, 8, 5, 8, 0]"
5424,[2. 1. 3. 2.],[1. 0. 0. 0.],"[8, 8, 5, 8, 0]"
5424,[2. 0. 3. 1.],[1. 0. 0. 0.],"[8, 8, 5, 8, 0]"
1156,[2. 0. 2. 2.],[1. 0. 0. 0.],"[8, 8, 5, 8, 0]"
