game_nr,object,fixed indices,context condition,message
2872,[0. 1. 2. 1.],[1. 1. 1. 1.],3,"[4, 4, 12, 8, 0]"
3955,[0. 1. 2. 1.],[1. 1. 1. 1.],1,"[4, 15, 12, 4, 0]"
11297,[0. 1. 2. 1.],[1. 1. 1. 1.],1,"[4, 4, 12, 8, 0]"
2872,[0. 1. 2. 1.],[1. 1. 1. 1.],3,"[4, 4, 12, 8, 0]"
2930,[0. 1. 2. 1.],[1. 1. 1. 1.],2,"[4, 15, 12, 8, 0]"
5038,[0. 1. 2. 1.],[1. 1. 1. 1.],2,"[4, 15, 12, 8, 0]"
7540,[0. 1. 2. 1.],[1. 1. 1. 1.],2,"[4, 15, 12, 8, 0]"
8584,[0. 1. 2. 1.],[1. 1. 1. 1.],3,"[4, 8, 12, 8, 0]"
2654,[0. 1. 2. 1.],[1. 1. 1. 1.],1,"[4, 4, 12, 12, 0]"
6101,[0. 1. 2. 1.],[1. 1. 1. 1.],1,"[4, 15, 12, 8, 0]"
9821,[0. 1. 2. 1.],[1. 1. 1. 1.],0,"[4, 4, 12, 12, 0]"
11297,[0. 1. 2. 1.],[1. 1. 1. 1.],1,"[4, 4, 12, 8, 0]"
3955,[0. 1. 2. 1.],[1. 1. 1. 1.],1,"[4, 15, 12, 4, 0]"
1147,[0. 1. 2. 1.],[1. 1. 1. 1.],0,"[4, 12, 12, 12, 0]"
4112,[0. 1. 2. 1.],[1. 1. 1. 1.],3,"[4, 4, 8, 8, 0]"
8098,[0. 1. 2. 1.],[1. 1. 1. 1.],3,"[4, 15, 8, 8, 0]"
8246,[0. 1. 2. 1.],[1. 1. 1. 1.],3,"[4, 15, 8, 8, 0]"
6047,[0. 1. 2. 1.],[1. 1. 1. 1.],2,"[4, 4, 12, 12, 0]"
2607,[0. 1. 2. 1.],[1. 1. 1. 1.],1,"[4, 12, 12, 12, 0]"
2688,[0. 1. 2. 1.],[1. 1. 1. 1.],1,"[4, 4, 12, 12, 0]"
