game_nr,object,fixed indices,message
761,[0. 1. 2.],[0. 0. 1.],"[11, 11, 11, 0]"
433,[2. 0. 2.],[0. 0. 1.],"[11, 11, 11, 0]"
433,[1. 0. 2.],[0. 0. 1.],"[11, 11, 11, 0]"
1211,[3. 0. 2.],[0. 0. 1.],"[11, 11, 11, 0]"
1522,[2. 0. 2.],[0. 0. 1.],"[11, 11, 11, 0]"
761,[1. 1. 2.],[0. 0. 1.],"[11, 11, 11, 0]"
1056,[2. 0. 2.],[0. 0. 1.],"[11, 11, 11, 0]"
184,[1. 2. 2.],[0. 0. 1.],"[11, 11, 11, 0]"
184,[0. 0. 2.],[0. 0. 1.],"[11, 11, 11, 0]"
1522,[0. 3. 2.],[0. 0. 1.],"[11, 11, 11, 0]"
1065,[1. 3. 2.],[0. 0. 1.],"[11, 11, 11, 0]"
1522,[2. 2. 2.],[0. 0. 1.],"[11, 11, 11, 0]"
1065,[0. 0. 2.],[0. 0. 1.],"[11, 11, 11, 0]"
1056,[2. 1. 2.],[0. 0. 1.],"[11, 11, 11, 0]"
1065,[2. 1. 2.],[0. 0. 1.],"[11, 11, 11, 0]"
761,[2. 3. 2.],[0. 0. 1.],"[11, 11, 11, 0]"
184,[1. 0. 2.],[0. 0. 1.],"[11, 11, 11, 0]"
433,[2. 2. 2.],[0. 0. 1.],"[11, 11, 11, 0]"
184,[3. 0. 2.],[0. 0. 1.],"[11, 11, 11, 0]"
1056,[0. 1. 2.],[0. 0. 1.],"[11, 11, 11, 0]"
