game_nr,object,fixed indices,message
44260,[10.  1.  6.],[1. 0. 0.],"[35, 7, 33, 0]"
52117,[10. 12.  3.],[1. 0. 0.],"[46, 7, 33, 0]"
27034,[10.  4.  1.],[1. 0. 0.],"[35, 7, 33, 0]"
66422,[10.  9.  8.],[1. 0. 0.],"[35, 7, 33, 0]"
42456,[10.  0. 10.],[1. 0. 0.],"[35, 7, 33, 0]"
52117,[10. 11.  7.],[1. 0. 0.],"[46, 7, 33, 0]"
66422,[10.  1. 12.],[1. 0. 0.],"[35, 7, 33, 0]"
24404,[10.  4. 12.],[1. 0. 0.],"[35, 7, 33, 0]"
17810,[10. 15.  5.],[1. 0. 0.],"[35, 4, 33, 0]"
66422,[10. 14. 11.],[1. 0. 0.],"[35, 7, 33, 0]"
66422,[10.  3. 10.],[1. 0. 0.],"[35, 7, 33, 0]"
27034,[10. 12.  5.],[1. 0. 0.],"[35, 7, 33, 0]"
42456,[10. 14.  2.],[1. 0. 0.],"[35, 7, 33, 0]"
51588,[10.  3. 10.],[1. 0. 0.],"[35, 7, 33, 0]"
66422,[10. 10.  0.],[1. 0. 0.],"[35, 7, 33, 0]"
66422,[10.  4.  4.],[1. 0. 0.],"[35, 7, 33, 0]"
66422,[10.  6. 11.],[1. 0. 0.],"[35, 7, 33, 0]"
44260,[10.  6. 14.],[1. 0. 0.],"[35, 7, 33, 0]"
66422,[10. 13.  7.],[1. 0. 0.],"[35, 7, 33, 0]"
44260,[10.  6.  5.],[1. 0. 0.],"[35, 7, 33, 0]"
