game_nr,object,fixed indices,message
9399,[1. 7. 3.],[1. 0. 0.],"[12, 1, 7, 0]"
9170,[1. 7. 1.],[1. 0. 0.],"[12, 12, 7, 0]"
897,[1. 0. 5.],[1. 0. 0.],"[22, 12, 7, 0]"
10038,[1. 7. 5.],[1. 0. 0.],"[12, 12, 7, 0]"
9170,[1. 1. 1.],[1. 0. 0.],"[12, 12, 7, 0]"
10038,[1. 4. 0.],[1. 0. 0.],"[12, 12, 7, 0]"
9170,[1. 7. 7.],[1. 0. 0.],"[12, 12, 7, 0]"
9170,[1. 1. 0.],[1. 0. 0.],"[12, 12, 7, 0]"
9399,[1. 0. 5.],[1. 0. 0.],"[12, 1, 7, 0]"
8128,[1. 1. 2.],[1. 0. 0.],"[12, 12, 7, 0]"
897,[1. 6. 1.],[1. 0. 0.],"[22, 12, 7, 0]"
8128,[1. 0. 2.],[1. 0. 0.],"[12, 12, 7, 0]"
8128,[1. 2. 0.],[1. 0. 0.],"[12, 12, 7, 0]"
9399,[1. 7. 1.],[1. 0. 0.],"[12, 1, 7, 0]"
897,[1. 5. 0.],[1. 0. 0.],"[22, 12, 7, 0]"
10038,[1. 1. 6.],[1. 0. 0.],"[12, 12, 7, 0]"
8128,[1. 4. 1.],[1. 0. 0.],"[12, 12, 7, 0]"
3061,[1. 1. 4.],[1. 0. 0.],"[12, 12, 7, 0]"
9399,[1. 7. 5.],[1. 0. 0.],"[12, 1, 7, 0]"
10038,[1. 3. 0.],[1. 0. 0.],"[12, 12, 7, 0]"
