game_nr,object,fixed indices,message
82491,[4. 2. 6. 7.],[0. 0. 1. 0.],"[11, 3, 24, 3, 0]"
73990,[1. 4. 6. 5.],[0. 0. 1. 0.],"[20, 24, 24, 24, 0]"
73990,[0. 6. 6. 7.],[0. 0. 1. 0.],"[20, 24, 24, 24, 0]"
99599,[0. 0. 6. 1.],[0. 0. 1. 0.],"[25, 3, 24, 3, 0]"
80053,[3. 7. 6. 7.],[0. 0. 1. 0.],"[3, 24, 24, 24, 0]"
82491,[7. 5. 6. 0.],[0. 0. 1. 0.],"[11, 3, 24, 3, 0]"
99599,[3. 6. 6. 2.],[0. 0. 1. 0.],"[25, 3, 24, 3, 0]"
56143,[1. 0. 6. 3.],[0. 0. 1. 0.],"[19, 3, 24, 3, 0]"
56143,[2. 6. 6. 4.],[0. 0. 1. 0.],"[19, 3, 24, 3, 0]"
99599,[6. 1. 6. 3.],[0. 0. 1. 0.],"[25, 3, 24, 3, 0]"
80053,[7. 3. 6. 4.],[0. 0. 1. 0.],"[3, 24, 24, 24, 0]"
73990,[6. 6. 6. 7.],[0. 0. 1. 0.],"[20, 24, 24, 24, 0]"
99599,[1. 1. 6. 6.],[0. 0. 1. 0.],"[25, 3, 24, 3, 0]"
80053,[7. 7. 6. 3.],[0. 0. 1. 0.],"[3, 24, 24, 24, 0]"
82491,[6. 6. 6. 2.],[0. 0. 1. 0.],"[11, 3, 24, 3, 0]"
131088,[0. 3. 6. 6.],[0. 0. 1. 0.],"[25, 3, 24, 3, 0]"
73990,[2. 6. 6. 4.],[0. 0. 1. 0.],"[20, 24, 24, 24, 0]"
73990,[6. 4. 6. 5.],[0. 0. 1. 0.],"[20, 24, 24, 24, 0]"
99599,[1. 6. 6. 5.],[0. 0. 1. 0.],"[25, 3, 24, 3, 0]"
82491,[0. 6. 6. 1.],[0. 0. 1. 0.],"[11, 3, 24, 3, 0]"
