game_nr,object,fixed indices,message
3461,[1. 3. 3. 0.],[0. 0. 1. 0.],"[11, 11, 11, 11, 0]"
414,[1. 0. 3. 0.],[0. 0. 1. 0.],"[11, 11, 11, 11, 0]"
3461,[0. 1. 3. 2.],[0. 0. 1. 0.],"[11, 11, 11, 11, 0]"
414,[0. 1. 3. 1.],[0. 0. 1. 0.],"[11, 11, 11, 11, 0]"
933,[0. 1. 3. 0.],[0. 0. 1. 0.],"[11, 11, 11, 11, 0]"
414,[3. 2. 3. 0.],[0. 0. 1. 0.],"[11, 11, 11, 11, 0]"
1351,[1. 2. 3. 1.],[0. 0. 1. 0.],"[11, 11, 11, 11, 0]"
933,[3. 1. 3. 2.],[0. 0. 1. 0.],"[11, 11, 11, 11, 0]"
933,[1. 3. 3. 0.],[0. 0. 1. 0.],"[11, 11, 11, 11, 0]"
3461,[2. 0. 3. 1.],[0. 0. 1. 0.],"[11, 11, 11, 11, 0]"
1351,[1. 3. 3. 3.],[0. 0. 1. 0.],"[11, 11, 11, 11, 0]"
3461,[1. 0. 3. 2.],[0. 0. 1. 0.],"[11, 11, 11, 11, 0]"
414,[1. 1. 3. 3.],[0. 0. 1. 0.],"[11, 11, 11, 11, 0]"
3461,[0. 1. 3. 1.],[0. 0. 1. 0.],"[11, 11, 11, 11, 0]"
933,[1. 2. 3. 2.],[0. 0. 1. 0.],"[11, 11, 11, 11, 0]"
3461,[0. 0. 3. 3.],[0. 0. 1. 0.],"[11, 11, 11, 11, 0]"
3461,[3. 2. 3. 3.],[0. 0. 1. 0.],"[11, 11, 11, 11, 0]"
1351,[0. 3. 3. 0.],[0. 0. 1. 0.],"[11, 11, 11, 11, 0]"
933,[0. 3. 3. 2.],[0. 0. 1. 0.],"[11, 11, 11, 11, 0]"
3461,[1. 2. 3. 1.],[0. 0. 1. 0.],"[11, 11, 11, 11, 0]"
