game_nr,object,fixed indices,message
5331,[7. 5. 4.],[0. 0. 1.],"[25, 21, 12, 0]"
4969,[7. 0. 4.],[0. 0. 1.],"[25, 12, 1, 0]"
5331,[5. 4. 4.],[0. 0. 1.],"[25, 21, 12, 0]"
58,[7. 7. 4.],[0. 0. 1.],"[25, 21, 1, 0]"
4969,[6. 2. 4.],[0. 0. 1.],"[25, 12, 1, 0]"
58,[0. 3. 4.],[0. 0. 1.],"[25, 21, 1, 0]"
10346,[4. 7. 4.],[0. 0. 1.],"[25, 12, 8, 0]"
1341,[0. 3. 4.],[0. 0. 1.],"[25, 12, 8, 0]"
4969,[2. 2. 4.],[0. 0. 1.],"[25, 12, 1, 0]"
1341,[3. 3. 4.],[0. 0. 1.],"[25, 12, 8, 0]"
1341,[5. 1. 4.],[0. 0. 1.],"[25, 12, 8, 0]"
10041,[2. 7. 4.],[0. 0. 1.],"[25, 12, 1, 0]"
5331,[5. 3. 4.],[0. 0. 1.],"[25, 21, 12, 0]"
10041,[6. 0. 4.],[0. 0. 1.],"[25, 12, 1, 0]"
10041,[1. 5. 4.],[0. 0. 1.],"[25, 12, 1, 0]"
4969,[1. 1. 4.],[0. 0. 1.],"[25, 12, 1, 0]"
4969,[3. 1. 4.],[0. 0. 1.],"[25, 12, 1, 0]"
10346,[1. 5. 4.],[0. 0. 1.],"[25, 12, 8, 0]"
10346,[4. 1. 4.],[0. 0. 1.],"[25, 12, 8, 0]"
5331,[1. 2. 4.],[0. 0. 1.],"[25, 21, 12, 0]"
