game_nr,object,fixed indices,message
1831,[9. 2. 2.],[1. 0. 0.],"[35, 10, 22, 0]"
22726,[ 9. 10.  8.],[1. 0. 0.],"[35, 26, 32, 0]"
29545,[ 9. 11. 10.],[1. 0. 0.],"[35, 10, 22, 0]"
29545,[ 9. 13.  9.],[1. 0. 0.],"[35, 10, 22, 0]"
48153,[ 9. 15. 12.],[1. 0. 0.],"[35, 26, 32, 0]"
22726,[9. 0. 1.],[1. 0. 0.],"[35, 26, 32, 0]"
48153,[9. 5. 7.],[1. 0. 0.],"[35, 26, 32, 0]"
48153,[ 9. 11.  6.],[1. 0. 0.],"[35, 26, 32, 0]"
22726,[ 9. 14. 14.],[1. 0. 0.],"[35, 26, 32, 0]"
48153,[ 9. 11. 10.],[1. 0. 0.],"[35, 26, 32, 0]"
48153,[ 9. 11.  2.],[1. 0. 0.],"[35, 26, 32, 0]"
1831,[ 9. 15.  9.],[1. 0. 0.],"[35, 10, 22, 0]"
22726,[ 9. 11.  9.],[1. 0. 0.],"[35, 26, 32, 0]"
48153,[ 9. 13.  2.],[1. 0. 0.],"[35, 26, 32, 0]"
48153,[ 9.  7. 11.],[1. 0. 0.],"[35, 26, 32, 0]"
22726,[ 9. 14.  9.],[1. 0. 0.],"[35, 26, 32, 0]"
29545,[ 9.  4. 10.],[1. 0. 0.],"[35, 10, 22, 0]"
1831,[ 9. 11.  0.],[1. 0. 0.],"[35, 10, 22, 0]"
48153,[ 9.  0. 13.],[1. 0. 0.],"[35, 26, 32, 0]"
29545,[ 9. 15. 14.],[1. 0. 0.],"[35, 10, 22, 0]"
