game_nr,object,fixed indices,message
1775,[1. 1. 1.],[1. 0. 0.],"[8, 8, 8, 0]"
234,[1. 2. 0.],[1. 0. 0.],"[8, 8, 8, 0]"
241,[1. 1. 0.],[1. 0. 0.],"[8, 8, 8, 0]"
241,[1. 2. 1.],[1. 0. 0.],"[8, 8, 8, 0]"
1482,[1. 0. 1.],[1. 0. 0.],"[8, 8, 8, 0]"
1775,[1. 2. 1.],[1. 0. 0.],"[8, 8, 8, 0]"
1376,[1. 1. 2.],[1. 0. 0.],"[8, 8, 8, 0]"
1775,[1. 2. 3.],[1. 0. 0.],"[8, 8, 8, 0]"
241,[1. 1. 3.],[1. 0. 0.],"[8, 8, 8, 0]"
241,[1. 3. 1.],[1. 0. 0.],"[8, 8, 8, 0]"
1775,[1. 0. 3.],[1. 0. 0.],"[8, 8, 8, 0]"
1775,[1. 2. 2.],[1. 0. 0.],"[8, 8, 8, 0]"
1376,[1. 2. 1.],[1. 0. 0.],"[8, 8, 8, 0]"
1482,[1. 3. 3.],[1. 0. 0.],"[8, 8, 8, 0]"
234,[1. 3. 3.],[1. 0. 0.],"[8, 8, 8, 0]"
1376,[1. 3. 3.],[1. 0. 0.],"[8, 8, 8, 0]"
1775,[1. 1. 3.],[1. 0. 0.],"[8, 8, 8, 0]"
234,[1. 2. 1.],[1. 0. 0.],"[8, 8, 8, 0]"
1376,[1. 1. 1.],[1. 0. 0.],"[8, 8, 8, 0]"
1376,[1. 2. 2.],[1. 0. 0.],"[8, 8, 8, 0]"
