game_nr,object,fixed indices,context condition,message
5549,[2. 3. 0. 1.],[1. 0. 1. 1.],2,"[8, 8, 9, 12, 0]"
11138,[2. 1. 0. 1.],[1. 0. 1. 1.],2,"[8, 8, 9, 9, 0]"
7132,[2. 2. 0. 1.],[1. 0. 1. 1.],1,"[8, 8, 9, 12, 0]"
6116,[2. 0. 0. 1.],[1. 0. 1. 1.],1,"[8, 8, 9, 8, 0]"
904,[2. 3. 0. 1.],[1. 0. 1. 1.],1,"[8, 8, 9, 8, 0]"
7132,[2. 1. 0. 1.],[1. 0. 1. 1.],1,"[8, 8, 9, 12, 0]"
9141,[2. 0. 0. 1.],[1. 0. 1. 1.],2,"[8, 9, 9, 12, 0]"
4535,[2. 3. 0. 1.],[1. 0. 1. 1.],1,"[8, 8, 9, 8, 0]"
3179,[2. 0. 0. 1.],[1. 0. 1. 1.],0,"[8, 8, 9, 8, 0]"
9840,[2. 1. 0. 1.],[1. 0. 1. 1.],1,"[8, 8, 9, 8, 0]"
3675,[2. 3. 0. 1.],[1. 0. 1. 1.],2,"[8, 9, 8, 9, 0]"
2062,[2. 3. 0. 1.],[1. 0. 1. 1.],1,"[8, 12, 9, 8, 0]"
6404,[2. 3. 0. 1.],[1. 0. 1. 1.],1,"[8, 8, 9, 12, 0]"
9139,[2. 0. 0. 1.],[1. 0. 1. 1.],0,"[8, 8, 9, 8, 0]"
8806,[2. 2. 0. 1.],[1. 0. 1. 1.],0,"[8, 8, 9, 8, 0]"
2544,[2. 0. 0. 1.],[1. 0. 1. 1.],0,"[8, 8, 9, 8, 0]"
5549,[2. 0. 0. 1.],[1. 0. 1. 1.],2,"[8, 8, 9, 12, 0]"
2544,[2. 0. 0. 1.],[1. 0. 1. 1.],0,"[8, 8, 9, 8, 0]"
8806,[2. 1. 0. 1.],[1. 0. 1. 1.],0,"[8, 8, 9, 8, 0]"
5530,[2. 0. 0. 1.],[1. 0. 1. 1.],2,"[8, 8, 9, 12, 0]"
